2022-05-19 15:05:945 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 15:05:30 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 15:05:150 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 15:05:235 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 15:05:310 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //button[@id='checkout']]
2022-05-19 15:05:417 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //input[@id='first-name']]
2022-05-19 15:05:510 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //input[@id='last-name']]
2022-05-19 15:05:604 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //input[@id='postal-code']]
2022-05-19 15:05:673 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //input[@id='continue']]
2022-05-19 15:05:744 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //button[@id='finish']]
2022-05-19 15:05:767 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (67abdc61ecfb869d27e0ce448254a355)] -> xpath: //h2[@class='complete-header']]
2022-05-19 15:05:188 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 15:05:731 INFO  ProductPage :36 - Selecting by : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 15:05:800 INFO  ProductPage :46 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 15:05:883 INFO  ProductPage :41 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 15:05:963 INFO  ProductPage :51 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 15:05:39 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //button[@id='checkout']]
2022-05-19 15:05:139 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //input[@id='first-name']]
2022-05-19 15:05:231 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //input[@id='last-name']]
2022-05-19 15:05:330 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //input[@id='postal-code']]
2022-05-19 15:05:399 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //input[@id='continue']]
2022-05-19 15:05:459 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //button[@id='finish']]
2022-05-19 15:05:486 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (bcde12e6a0714ed2b4450d9c408980c6)] -> xpath: //h2[@class='complete-header']]
2022-05-19 15:05:665 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 15:05:86 INFO  ProductPage :36 - Selecting by : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 15:05:136 INFO  ProductPage :46 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 15:05:192 INFO  ProductPage :41 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 15:05:280 INFO  ProductPage :51 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 15:05:368 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //button[@id='checkout']]
2022-05-19 15:05:515 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //input[@id='first-name']]
2022-05-19 15:05:635 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //input[@id='last-name']]
2022-05-19 15:05:741 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //input[@id='postal-code']]
2022-05-19 15:05:819 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //input[@id='continue']]
2022-05-19 15:05:882 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //button[@id='finish']]
2022-05-19 15:05:914 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (f9ff4756065b82a295217809a38b550a)] -> xpath: //h2[@class='complete-header']]
